iter	RMSE
0	0.1223207472
1	0.1171750553
2	0.1126951182
3	0.1085424009
4	0.1045877537
5	0.100485807
6	0.0969774954
7	0.09325308693
8	0.08983076121
9	0.08647136182
10	0.08332832751
11	0.08044532823
12	0.07749663378
13	0.07483205783
14	0.07254467884
15	0.07033211204
16	0.06830511969
17	0.06620004091
18	0.06412047293
19	0.0621350193
20	0.06033339023
21	0.05872778024
22	0.05719368577
23	0.05550905454
24	0.05406060889
25	0.05271455051
26	0.05115345005
27	0.04995298361
28	0.04872689522
29	0.04741217657
30	0.04611773442
31	0.04507389422
32	0.04401817397
33	0.04300268909
34	0.04207242171
35	0.04121501109
36	0.0406150707
37	0.03979592115
38	0.0391003631
39	0.03839315042
40	0.03770653118
41	0.0370199225
42	0.03644976309
43	0.0358052187
44	0.03545860689
45	0.03502148258
46	0.03453617911
47	0.03421185987
48	0.03379064877
49	0.03332859138
50	0.03295836856
51	0.03263866257
52	0.03227301533
53	0.03198829132
54	0.03166253525
55	0.03142146742
56	0.03117126708
57	0.03089253321
58	0.03070025751
59	0.03048699624
60	0.03031105349
61	0.03007487012
62	0.02990157696
63	0.02977563402
64	0.02961120616
65	0.029415424
66	0.02925638819
67	0.02909397388
68	0.02893632734
69	0.02878791504
70	0.02863556682
71	0.02850507806
72	0.02835677675
73	0.02824745067
74	0.02810367728
75	0.02802380742
76	0.02793129421
77	0.02782698733
78	0.02772888206
79	0.02764888289
80	0.02755917687
81	0.02749401295
82	0.02739279984
83	0.02730357897
84	0.0272202654
85	0.02712980474
86	0.02702098477
87	0.02693918893
88	0.02688132492
89	0.02679804414
90	0.02675784968
91	0.02670285974
92	0.02662117492
93	0.02653712286
94	0.02648543243
95	0.02642398468
96	0.02635947359
97	0.02629550633
98	0.0262545189
99	0.02620959484
100	0.02617989098
101	0.0261438785
102	0.02609730518
103	0.02606382186
104	0.0260385394
105	0.0260086041
106	0.02594603788
107	0.02588439698
108	0.02584096762
109	0.02579001631
110	0.02574217907
111	0.02571001366
112	0.02566761268
113	0.02561357806
114	0.02554933157
115	0.0255221445
116	0.02549620808
117	0.02544954937
118	0.02541494106
119	0.02538170228
120	0.02530582069
121	0.02526894429
122	0.02521596687
123	0.02517171667
124	0.02514130083
125	0.02509956106
126	0.02506752981
127	0.02502587908
128	0.0249895873
129	0.02495234958
130	0.02490720565
131	0.02486872329
132	0.02484285014
133	0.02480869959
134	0.0247756286
135	0.0247353135
136	0.02471505631
137	0.02467868653
138	0.02465252353
139	0.0246304402
140	0.02460228133
141	0.02457693339
142	0.02454944544
143	0.02452710429
144	0.02448970945
145	0.02446957258
146	0.02444624919
147	0.02441492861
148	0.02435519341
149	0.02432259407
150	0.02428155832
151	0.02424684897
152	0.02419143581
153	0.02416745595
154	0.02412877551
155	0.02409544613
156	0.02404010766
157	0.02401080355
158	0.02398222332
159	0.02395458377
160	0.02393479622
161	0.02390591497
162	0.02384436379
163	0.02382810973
164	0.02380359753
165	0.02377975381
166	0.02375985841
167	0.02373002115
168	0.02370043435
169	0.02367541322
170	0.02363086724
171	0.02361340986
172	0.02359021203
173	0.02355996458
174	0.02353575418
175	0.0235169664
176	0.02348951678
177	0.02345892451
178	0.0234356702
179	0.0234137558
180	0.0233860758
181	0.02336814627
182	0.02333542025
183	0.02331180669
184	0.0232624293
185	0.02323661821
186	0.02320940071
187	0.02318748833
188	0.02316042722
189	0.02313268155
190	0.02311965524
191	0.02309869575
192	0.02306760783
193	0.02301998901
194	0.02300696838
195	0.02299092509
196	0.02296267442
197	0.0229025496
198	0.02286273738
199	0.02281938353
200	0.02278294031
201	0.0227530285
202	0.02271932912
203	0.02269515638
204	0.02264347024
205	0.02261534198
206	0.02259282638
207	0.02253194562
208	0.02251228186
209	0.02248485941
210	0.02245000268
211	0.02242506709
212	0.02237854809
213	0.02236093795
214	0.0223349598
215	0.02231039347
216	0.02229277586
217	0.02227521835
218	0.02224975702
219	0.02218839334
220	0.02214092556
221	0.02210457312
222	0.02208851802
223	0.02204251353
224	0.0220249744
225	0.02199026336
226	0.02196857404
227	0.02194573904
228	0.02191171361
229	0.02189448191
230	0.02187771207
231	0.02184977827
232	0.02183102884
233	0.02180419656
234	0.02178447099
235	0.02176775844
236	0.0217434773
237	0.02171095881
238	0.02168877025
239	0.02165305114
240	0.0216154387
241	0.02158674422
242	0.02156007964
243	0.02153064895
244	0.02149866425
245	0.02147254768
246	0.02145398166
247	0.02143994887
248	0.02141125036
249	0.0213954575
250	0.02138100959
251	0.02136165174
252	0.02133590074
253	0.02129782995
254	0.02127447633
255	0.02125186659
256	0.02122365411
257	0.02120790037
258	0.0211870958
259	0.02116627599
260	0.02113974776
261	0.02111784529
262	0.02108912189
263	0.0210698263
264	0.02104592773
265	0.02102688564
266	0.02100542275
267	0.02098018743
268	0.02095212533
269	0.02093633737
270	0.0209129043
271	0.02090266236
272	0.0208833611
273	0.02086104542
274	0.02084416036
275	0.02081953187
276	0.020796271
277	0.02076561885
278	0.02074021804
279	0.02071929926
280	0.02070644902
281	0.02068710333
282	0.02066190231
283	0.02064559504
284	0.02063275741
285	0.0206204639
286	0.02060182292
287	0.02056573189
288	0.02052344385
289	0.02050689549
290	0.02048435938
291	0.02046374137
292	0.02044125096
293	0.0204266092
294	0.02040856897
295	0.02037222448
296	0.02034374358
297	0.0203234774
298	0.02031069332
299	0.02028548814
300	0.02027009669
301	0.02024515878
302	0.02022226267
303	0.02020352119
304	0.02018555687
305	0.02016124156
306	0.02013893679
307	0.02011536393
308	0.02008993956
309	0.0200626492
310	0.02004234715
311	0.02002512717
312	0.01999338932
313	0.01997465723
314	0.01996189473
315	0.01994626695
316	0.01992765433
317	0.01989164161
318	0.01986977121
319	0.01985145043
320	0.0198327751
321	0.01981958937
322	0.01979736797
323	0.01977708656
324	0.01975586294
325	0.01973699931
326	0.0197218257
327	0.01969858174
328	0.01968588635
329	0.01967266966
330	0.01965394016
331	0.01962810272
332	0.01961431991
333	0.0196007392
334	0.01958278879
335	0.01956520265
336	0.01954159134
337	0.01951791048
338	0.01948205416
339	0.01946254989
340	0.01945005842
341	0.01942884885
342	0.01940308295
343	0.01938100941
344	0.01936388815
345	0.01934409745
346	0.01932686963
347	0.01930810299
348	0.01929652953
349	0.0192778205
350	0.01925507753
351	0.01922872411
352	0.01921149446
353	0.01919385748
354	0.0191743264
355	0.01914594802
356	0.01913585924
357	0.01911563304
358	0.01909872242
359	0.01908310321
360	0.01906403094
361	0.01903911132
362	0.01902364826
363	0.01900482759
364	0.01899128785
365	0.01897679058
366	0.01896004682
367	0.01894887389
368	0.01893180634
369	0.01891481342
370	0.01887870357
371	0.01885982017
372	0.01884242894
373	0.01882448624
374	0.01880244851
375	0.01877884213
376	0.01875673362
377	0.01873843164
378	0.01872393806
379	0.01870476249
380	0.01869104548
381	0.01867559873
382	0.01866063276
383	0.01864611003
384	0.01863057512
385	0.01860528197
386	0.01858409168
387	0.01857049423
388	0.01855508419
389	0.01853701403
390	0.01852244956
391	0.01850767283
392	0.01848798836
393	0.01847238212
394	0.01845461207
395	0.01843685756
396	0.0184156605
397	0.0184028151
398	0.01839070448
399	0.01836496292
400	0.01834876435
401	0.01833484394
402	0.01830949461
403	0.01829422724
404	0.01826501396
405	0.01825195096
406	0.01823786389
407	0.01821670293
408	0.01819774184
409	0.01818459984
410	0.01815745232
411	0.01813318922
412	0.01810850687
413	0.01809005576
414	0.01807424
415	0.01805908134
416	0.01804262337
417	0.01802442103
418	0.01801347479
419	0.01800218771
420	0.01798220953
421	0.01797059034
422	0.01795906337
423	0.01794172675
424	0.0179188754
425	0.01789231099
426	0.01787823273
427	0.01786225091
428	0.01784369436
429	0.01782686528
430	0.01781209093
431	0.01779602401
432	0.01777474012
433	0.01775806755
434	0.01773934541
435	0.01772026054
436	0.01770288206
437	0.01768968068
438	0.01767587647
439	0.01765824577
440	0.01763692856
441	0.01760740998
442	0.01759505282
443	0.0175793685
444	0.01755697565
445	0.01754618683
446	0.01752666955
447	0.01751224269
448	0.01749368478
449	0.01747207054
450	0.01745171477
451	0.01743493587
452	0.0174225482
453	0.01741439902
454	0.01739253429
455	0.01738078684
456	0.01737110774
457	0.01735714676
458	0.01734680087
459	0.0173332698
460	0.01732641673
461	0.01731369664
462	0.01729856669
463	0.0172819965
464	0.01726794165
465	0.01725319027
466	0.01723672485
467	0.01722318701
468	0.0172110957
469	0.017197871
470	0.01718695132
471	0.01717349406
472	0.01715183525
473	0.0171434609
474	0.01712549826
475	0.01711265779
476	0.01708763876
477	0.01707834796
478	0.01706964439
479	0.01704829596
480	0.01703829102
481	0.01702951809
482	0.01701193972
483	0.01700814509
484	0.0169934064
485	0.01697862527
486	0.01695993698
487	0.01693374543
488	0.01691785038
489	0.01689800963
490	0.01687729344
491	0.0168536869
492	0.01684000578
493	0.01683620213
494	0.01681650745
495	0.01679926256
496	0.01678200036
497	0.01677053192
498	0.01675948329
499	0.01675422775
500	0.01674029779
501	0.01672403232
502	0.01671654767
503	0.01670189494
504	0.01668553175
505	0.01667278502
506	0.01665955923
507	0.01664721144
508	0.0166337039
509	0.01662535001
510	0.01661410951
511	0.01659634256
512	0.01658227021
513	0.01657295954
514	0.0165582776
515	0.01655231988
516	0.01654467629
517	0.01653229312
518	0.01651758227
519	0.0164954661
520	0.01648243736
521	0.01647308369
522	0.01646004203
523	0.01644939762
524	0.01642797718
525	0.01641805184
526	0.01641056714
527	0.01639773548
528	0.01638231357
529	0.01636883386
530	0.01636043022
531	0.01634813069
532	0.01633422351
533	0.01631953471
534	0.01631559436
535	0.01629651365
536	0.01628546833
537	0.01627605531
538	0.01626621707
539	0.01625196964
540	0.01623420011
541	0.01622245607
542	0.01620587181
543	0.01619633145
544	0.01618166265
545	0.01617084191
546	0.0161527608
547	0.01614060409
548	0.01612779702
549	0.01611136183
550	0.01610155383
551	0.01609035525
552	0.01607469419
553	0.01606905723
554	0.0160605503
555	0.01605384107
556	0.0160352864
557	0.01602722854
558	0.01601891971
559	0.01599936788
560	0.01598777998
561	0.01598334195
562	0.01597184278
563	0.01596328468
564	0.01595413089
565	0.01594153577
566	0.01592595333
567	0.01591147348
568	0.01590147198
569	0.0158890637
570	0.01587007261
571	0.01585605715
572	0.01584484329
573	0.01582516047
574	0.0158083748
575	0.0157930128
576	0.01577158828
577	0.01575694376
578	0.01574580005
579	0.01573275011
580	0.01572245904
